text_type,text,item_type,category
warning,"IMPORTANT: Submitting the questionnaire will only be possible after confirming your answers in each section. You can pause filling the questionnaire at any time and your answers will be saved. To resume, for example on another device, please use exactly the same link (but please note that you will not be able to have the questionnaire open on two devices at the same time) .",start,
help,NOTE: It will not be possible to go back to this part after you have confirmed your answers.,start,
backBtn,Previous,,
nextBtn,Next,,
confBtn,Confirm,,
startBtn,Start,,
dateLabel,Your child's date of birth,,
genderLabel,Your child's sex,,
modalTitle,Warning!,,
noGender,Please choose the child's sex.,,
noFiller,Please choose who is filling the questionnaire.,,
badDate,The child's date of birth indicates that your child is not in the appropriate age range for this questionnaire.,,
genders,"male,female",,
fillerLabel,What is your relationship to the child?,,
fillers,"mother,father,grandmother,grandfather,nanny or childminder,nursery teacher,other (please indicate)",,
commentLabel, Comments,,
cdiNamePrefix,UK Communicative Development Inventory,,
endTooltip,Submitting the questionnaire will be possible after confirming your answers in each section.,,
header,Submitting your answers,end,
endBtn,Finish,end,
instr,If you have filled all parts of the questionnaire please click the “Confirm” button. ,end,
help,Thank you for filling the questionnaire!,postEnd,
help,Thank you for filling the questionnaire!,postEndSW,
instr,Thank you for filling the questionnaire! We hope that it was a valuable experience that allowed you to reflect on your child's langauge development. Your participation in the study is very important for us – it will help us to describe early language development of mono- and bilingual children who acquire English as one of their languages.,postEndSW,
instr,Thank you for filling the questionnaire! We hope that it was a valuable experience that allowed you to reflect on your child's langauge development. Your participation in the study is very important for us – it will help us to describe early language development of mono- and bilingual children who acquire English as one of their languages.,postEnd,
error,An error has occured. Please reload the page and try again.,,
refresh,Reload,,
badForm,Incorrect parameter value in the URL. Available values: ,,none
inventoryOpened,The questionnaire is already open. Please close the questionnaire if it's open somewhere else and/or reload the page.,,
email,no,,
