text_type;text;item_type;category
backBtn;Cofnij;;
nextBtn;Dalej;;
saveBtn;Zatwierdź;;
commentLabel;Twoje uwagi;;
cdiNamePrefix;Inwentarz Rozwoju Mowy i Komunikacji;;
header;Łączenie wyrazów;combine;
choiceNames;Jeszcze nie, Czasem, Często;combine;
help;Część „Wypowiedzi” uaktywni się w przypadku wybrania tutaj odpowiedzi „Czasem” lub „Często” (i zatwierdzenia jej).;combine;
header;Zakończenie;end;
instr; Na tym etapie wciąż możesz edytować swoje odpowiedzi, pomimo zatwierdzenia wszystkich części. Aby zakończyć definitywnie wypełnianie inwetarza kliknij teraz przycisk „Zatwierdź”. ;end;
help;UWAGA: Po zatwierdzeniu inwentarza nie będzie możliwości dalszej edycji odpowiedzi!;end;
help;Dziękujemy za wypełnienie!;postEnd;
instr;Dostaniesz wkrótce maila bla bla bla…;postEnd;
